year month day hour minute second windspeed_ms
2015 5 4 9 15 5 10.003333
2015 5 4 10 15 5 9.995000
2015 5 4 11 15 5 10.186667
2015 5 4 12 15 5 9.593333
2015 5 4 13 15 5 7.995000
2015 5 4 14 15 5 6.936667
2015 5 4 15 15 5 5.650000
2015 5 4 16 15 5 4.808333
2015 5 4 17 15 5 4.941667
2015 5 4 18 15 5 5.446667
2015 5 4 19 15 5 6.441667
2015 5 4 20 15 5 8.540000
2015 5 4 21 15 5 11.275000
2015 5 4 22 15 5 13.850000
2015 5 4 23 15 5 14.868333
2015 5 5 0 15 5 15.748333
2015 5 5 1 15 5 15.051667
2015 5 5 2 15 5 14.811667
2015 5 5 3 15 5 14.828333
2015 5 5 4 15 5 14.016667
2015 5 5 5 15 5 12.986667
2015 5 5 6 15 5 12.258333
2015 5 5 7 15 5 11.481667
2015 5 5 8 15 5 10.840000
2015 5 5 9 15 5 11.278333
2015 5 5 10 15 5 10.445000
2015 5 5 11 15 5 10.501667
2015 5 5 12 15 5 10.353333
2015 5 5 13 15 5 9.413333
2015 5 5 14 15 5 10.350000
2015 5 5 15 15 5 10.666667
2015 5 5 16 15 5 10.538333
2015 5 5 17 15 5 12.173333
2015 5 5 18 15 5 12.053333
2015 5 5 19 15 5 12.228333
2015 5 5 20 15 5 16.038333
2015 5 5 21 15 5 17.606667
2015 5 5 22 15 5 16.341667
2015 5 5 23 15 5 15.635000
2015 5 6 0 15 5 14.335000
2015 5 6 1 15 5 14.423333
2015 5 6 2 15 5 11.573333
2015 5 6 3 15 5 10.193333
2015 5 6 4 15 5 10.498333
2015 5 6 5 15 5 11.276667
2015 5 6 6 15 5 11.290000
2015 5 6 7 15 5 9.926667
2015 5 6 8 15 5 8.176667
2015 5 6 9 15 5 7.220000
2015 5 6 10 15 5 6.640000
2015 5 6 11 15 5 7.028333
2015 5 6 12 15 5 6.896000
2015 5 6 13 15 5 5.173333
2015 5 6 14 15 5 3.761667
2015 5 6 15 15 5 3.796667
2015 5 6 16 15 5 4.428333
2015 5 6 17 15 5 5.270000
2015 5 6 18 15 5 5.520000
2015 5 6 19 15 5 5.705000
2015 5 6 20 15 5 6.723333
2015 5 6 21 15 5 6.373333
2015 5 6 22 15 5 6.435000
2015 5 6 23 15 5 4.646667
2015 5 7 0 15 5 4.685000
2015 5 7 1 15 5 4.588333
